tic,weight
EW,0.0022522522522522522
EXC,0.0022522522522522522
EXPD,0.0022522522522522522
EXPE,0.0022522522522522522
F,0.0022522522522522522
FANG,0.0022522522522522522
FAST,0.0022522522522522522
FCX,0.0022522522522522522
FDS,0.0022522522522522522
FDX,0.0022522522522522522
FE,0.0022522522522522522
FFIV,0.0022522522522522522
FI,0.0022522522522522522
FICO,0.0022522522522522522
FIS,0.0022522522522522522
FMC,0.0022522522522522522
FOX,0.0022522522522522522
FOXA,0.0022522522522522522
FSLR,0.0022522522522522522
FTNT,0.0022522522522522522
FTV,0.0022522522522522522
GD,0.0022522522522522522
GDDY,0.0022522522522522522
GEHC,0.0022522522522522522
GEN,0.0022522522522522522
GILD,0.0022522522522522522
GIS,0.0022522522522522522
GL,0.0022522522522522522
GLW,0.0022522522522522522
GM,0.0022522522522522522
GNRC,0.0022522522522522522
GOOG,0.0022522522522522522
GOOGL,0.0022522522522522522
GPC,0.0022522522522522522
GPN,0.0022522522522522522
GRMN,0.0022522522522522522
GS,0.0022522522522522522
HAL,0.0022522522522522522
HAS,0.0022522522522522522
HCA,0.0022522522522522522
HD,0.0022522522522522522
HES,0.0022522522522522522
HIG,0.0022522522522522522
HII,0.0022522522522522522
HLT,0.0022522522522522522
HOLX,0.0022522522522522522
HON,0.0022522522522522522
HPE,0.0022522522522522522
HPQ,0.0022522522522522522
HRL,0.0022522522522522522
HSIC,0.0022522522522522522
HSY,0.0022522522522522522
HUBB,0.0022522522522522522
HUM,0.0022522522522522522
HWM,0.0022522522522522522
IBM,0.0022522522522522522
ICE,0.0022522522522522522
IDXX,0.0022522522522522522
IEX,0.0022522522522522522
IFF,0.0022522522522522522
INCY,0.0022522522522522522
INTU,0.0022522522522522522
IP,0.0022522522522522522
IPG,0.0022522522522522522
IQV,0.0022522522522522522
IR,0.0022522522522522522
ISRG,0.0022522522522522522
IT,0.0022522522522522522
ITW,0.0022522522522522522
IVZ,0.0022522522522522522
J,0.0022522522522522522
JBHT,0.0022522522522522522
JBL,0.0022522522522522522
JCI,0.0022522522522522522
JKHY,0.0022522522522522522
JNJ,0.0022522522522522522
JNPR,0.0022522522522522522
JPM,0.0022522522522522522
K,0.0022522522522522522
KDP,0.0022522522522522522
KEY,0.0022522522522522522
KEYS,0.0022522522522522522
KHC,0.0022522522522522522
KKR,0.0022522522522522522
